,fips,state_fips,lat,lon,population,income,livestock_plant,livestock_plant_0_50km,livestock_plant_50_100km,livestock_plant_100_150km,cattle_plant,hog_plant,chicken_plant,livestock_plant_binary,cattle_plant_binary,hog_plant_binary,chicken_plant_binary,livestock_plant_small,livestock_plant_medium,livestock_plant_large,line_speed_waiver,line_speed_waiver_2020,company,case_rate,case_rate_log,case_rate_ihs,cases,death_rate,death_rate_log,death_rate_ihs,deaths,log_income_pc,density,density_sq,timing_case,old,black,hisp,freight,public_transit,household_size,nursing_census,prison,uninsured,essential_workers,share_manufacturing,manufacturing_establishments,work_google,retail_google,covid_testing,covid_testing_rate,covid_positivity,livestock_sales_1959
1243,18005,18,39.205843,-85.8979988,82753,4131157000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,No plant,7.81844767,2.056486027,2.753698114,647,0.580039394,-0.544659256,0.551633639,48,10.8182078,1.807622301,3.267498385,0.302197802,0.110533757,0.029872029,0.069266371,0.514674,0.4,2.556190596,0.00628376,0.002102643,0.091,0.036331009,0.47579528,136,-44.82407407,-45.81613757,87.69470593,87.69470593,0.089155298,5.308436
1244,18041,18,39.6396552,-85.1850315,23047,943520000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No plant,7.593179156,2.027250365,2.724705647,175,0.303727166,-1.19162546,0.299241189,7,10.61983723,1.697286786,2.880782434,0.313186813,0.136894173,0.018917863,0.013450775,0.087855,0.2,2.386078595,0.012105697,0,0.105,0.112298471,0.110312447,29,-28.86655133,-34.08484848,78.79550484,78.79550484,0.096365639,4.345579
1245,18121,18,39.7742496,-87.1969502,16927,615210000,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,2.244934129,0.80867618,1.548098575,38,0,NA,0,0,10.50080897,1.564107372,2.446431872,0.401098901,0.129497253,0.02989307,0.016423465,0.118158,0,2.526118796,0.014887458,0.086193655,0.151,0.178001875,0.050499829,14,-26.47894737,-61.51111111,54.35103681,54.35103681,0.041304348,5.186489
1246,18105,18,39.1607286,-86.52331,146917,6201690000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,3.348829611,1.208610915,1.923339825,492,0.204196928,-1.58867042,0.202803865,30,10.65046459,3.368620653,11.34760511,0.335164835,0.087335026,0.043391847,0.035019773,0.463228,3.7,2.347696131,0.00376403,0.001653995,0.077,0.012956532,0.082338524,93,-32.52697659,-38.8247661,66.59542463,66.59542463,0.050286182,2.631821
1247,18031,18,39.3059799,-85.499831,26794,1144977000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,No plant,10.6740315,2.367813829,3.063148057,286,1.306262596,0.26717008,1.082263661,35,10.66271713,0.974913806,0.950456929,0.346153846,0.113085019,0.009442412,0.020900202,0.278259,0.6,2.510311751,0.008584011,0.002164664,0.069,0.102995696,0.380851318,54,-28.09411623,-34.35802469,86.84780175,86.84780175,0.122905028,11.25134
1248,18013,18,39.1928859,-86.2395856,15234,712716000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,No plant,3.61034528,1.283803413,1.995600929,55,0.065642641,-2.723529772,0.065595591,1,10.75330853,7.379917965,54.46318917,0.346153846,0.157214126,0.011815675,0.016935801,0.090574,0.1,2.444608567,0.007548904,0,0.112,0.159723283,0.015612109,16,-27.60476019,-41.93959811,41.1579362,41.1579362,0.087719298,0.606357
1249,18021,18,39.3939513,-87.1158369,26170,1010565000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,2.789453573,1.025845725,1.749675817,73,0.191058464,-1.655175804,0.189914774,5,10.56140642,1.408672972,1.984359543,0.373626374,0.118723729,0.011539931,0.014252961,0.235307,0,2.453377735,0.007030951,0.003477264,0.054,0.115133272,0.17624992,27,-28.85281113,-29.88216561,70.11845625,70.11845625,0.039782016,3.412434
1250,18047,18,39.409762,-85.0669641,22736,1060148000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,No plant,6.993314567,1.944954631,2.643174855,159,0.395847994,-0.926724994,0.386177525,9,10.74996951,2.397792685,5.749409759,0.307692308,0.120425757,0.006421534,0.01174349,0.116379,0.3,2.591033852,0.00325475,0,0.056,0.167480354,0.045035221,21,-29.43325273,-33.88372284,44.0270936,44.0270936,0.158841159,7.160436
1251,18099,18,41.3250032,-86.2690363,46248,1911394000,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,No plant,14.50873551,2.674750917,3.369083617,671,0.302715793,-1.19496089,0.298273331,14,10.62932516,1.089077526,1.186089857,0.357142857,0.121497146,0.013751946,0.104220723,0.362063,0.5,2.656654103,0.008194949,0.002140633,0.13,0.044472703,0.222064629,144,-27.10073826,-31.44509214,110.7291126,110.7291126,0.131029096,9.724791
1252,18127,18,41.5099144,-87.0713128,169594,9010455000,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,No plant,5.601613265,1.723054639,2.424075601,950,0.235857401,-1.444527891,0.233723654,40,10.88048878,1.14543564,1.312022806,0.346153846,0.106536788,0.046169086,0.102633348,1.650505,1.3,2.56488299,0.005112209,0.002995389,0.063,0.010987787,0.105335635,159,-33.19179894,-44.84656085,67.43163084,67.43163084,0.083071004,6.641221
1253,18089,18,41.472247,-87.3743368,484411,21881948000,0,0,2,6,0,0,0,0,0,0,0,2,0,0,0,0,No plant,13.03851481,2.567907655,3.262522166,6316,0.561506654,-0.577131654,0.535538217,272,10.71823884,1.142967471,1.306374641,0.307692308,0.110812925,0.252217642,0.193851915,4.641299,2.9,2.594735678,0.004159691,0.002935524,0.086,0.047640611,0.123605906,350,-34.12050896,-40.71647269,95.7472064,95.7472064,0.136176452,5.23344
1254,18073,18,41.0176883,-87.1188137,33370,1444703000,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,4.88462691,1.586092908,2.28955711,163,0.059934073,-2.814510112,0.059898249,2,10.67575703,0.58628368,0.343728553,0.351648352,0.1189092,0.01243632,0.06107282,0.510021,0.3,2.597017306,0.005124363,0.002846868,0.072,0.068932612,0.084630543,35,-26.41439769,-32.8627451,80.40155829,80.40155829,0.060752889,8.495468
